id	category	question	answer	keys	source
A1	precise	事业单位聘用合同期限一般不低于几年？	一般不低于 3 年	期限一般不低于 3 年	01-第十二条
A2	precise	初次就业的工作人员，聘用合同期限 3 年以上的，试用期是多久？	12 个月	试用期为 12 个月	01-第十三条
A3	precise	事业单位工作人员连续旷工多少天会被解除聘用合同？	连续旷工超过 15 个工作日	连续旷工超过 15 个工作日	01-第十五条
A4	precise	年度考核不合格且不同意调整工作岗位，单位提前多久通知可以解除聘用合同？	提前 30 日书面通知	提前 30 日书面通知	01-第十六条
A5	precise	警告处分的受处分期间是多久？	6 个月	警告，6 个月	01-第二十九条
A6	precise	银川市市场监督管理局的基本产假是多少天？	158 天	基本产假 158 天	02-第十五条
A7	precise	配偶的护理假是多少天？	25 天	配偶给予 25 天护理假	02-第十五条
A8	precise	正常的婚假为多少天？	3 天	正常的婚假为 3 天	02-第十五条
A9	precise	区外二类培训的综合定额标准合计是多少？	600 元/人·天	区外二类培训|600 元	03-第四条
A10	precise	院士、全国知名专家的讲课费每学时上限是多少？	1500 元	院士、全国知名专家每学时一般不超过 1500 元	03-第五条
B1	confusable	累计工作满 10 年不满 20 年的员工，年休假多少天？	10 天	已满 10 年不满 20 年的，年休假 10 天	02-第十五条
B2	confusable	已婚职工探望配偶，假期是多少天？	30 天	已婚职工探望配偶，一年一次，假期 30 天	02-第十五条
B3	confusable	副高级职称专业技术人员的讲课费每学时上限是多少？	500 元	副高级职称专业技术人员每学时最高不超过 500 元	03-第五条
B4	confusable	培训超过 30 天的部分，按综合定额标准的多少比例控制？	70%	按照综合定额标准的 70% 控制	03-第四条
B5	confusable	连续病休几天以上需要提供医院证明？	3 日	连续病休 3 日以上需提供医院证明	02-第十五条
B6	confusable	请事假连续几天需要局长批准？	3 天以上	请假 3 天以上由局长批准	02-第十五条
B7	confusable	报销学历学费时，所学专业与本职业务结合不够紧密的报销比例是多少？	70%	不够紧密的报销学费 70%	03-第九条
B8	confusable	怀孕满 4 个月流产的，产假是多少天？	42 天	怀孕满 4 个月流产，产假 42 天	02-第十五条
C1	integrative	银川市市场监督管理局的员工出差回来后需要办什么手续？	到组织人事科履行销假手续	销假手续	02-第十三条 / 附
C2	integrative	事业单位的奖励分为哪几种？	嘉奖、记功、记大功、授予荣誉称号	嘉奖、记功、记大功、授予荣誉称号	01-第二十七条
C3	integrative	事业单位的处分分为哪几种？	警告、记过、降低岗位等级或者撤职、开除	警告、记过、降低岗位等级或者撤职、开除	01-第二十九条
C4	integrative	银川市市场监督管理局对培训住宿和用餐有哪些禁止性规定？	不得安排高档套房、不得提供烟酒	不得安排高档套房|不得提供烟酒	03-第六条
E1	irrelevant	公司的股权激励计划是怎么规定的？	知识库中无此信息	-	-
E2	irrelevant	员工宿舍的申请条件是什么？	知识库中无此信息	-	-
E3	irrelevant	差旅费的住宿标准是多少钱一晚？	知识库中无此信息	-	-
